"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
301,"Streptomyces aureocirculatus","NRRL ISP-5401","SAMN02645372 ","PRJNA238534","GCA_000725745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/745/GCA_000725745.1_Doro.v1.0"
302,"Streptomyces albidoflavus","NRRL B-1271","SAMN02645503 ","PRJNA238534","GCA_000719955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/955/GCA_000719955.1_ASM71995v1"
303,"Streptomyces sclerotialus","NRRL ISP-5269","SAMN02645383 ","PRJNA238534","GCA_000720555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/555/GCA_000720555.1_ASM72055v1"
304,"Streptomyces bicolor","NRRL B-5348","SAMN02645270 ","PRJNA238534","GCA_000719285.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/285/GCA_000719285.1_ASM71928v1"
305,"Streptomyces ruber","NRRL B-1661","SAMN02645211 ","PRJNA238534","GCA_000719015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/015/GCA_000719015.1_ASM71901v1"
306,"Streptomyces puniceus","NRRL B-2895","SAMN02645252 ","PRJNA238534","GCA_000719195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/195/GCA_000719195.1_ASM71919v1"
307,"Streptomyces varsoviensis","NRRL B-3589","SAMN02645265 ","PRJNA238534","GCA_000719255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/255/GCA_000719255.1_ASM71925v1"
309,"Streptomyces purpeochromogenes","NRRL ISP-5373","SAMN02645387 ","PRJNA238534","GCA_000718615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/615/GCA_000718615.1_ASM71861v1"
310,"Streptomyces katrae","NRRL B-16271","SAMN02645353 ","PRJNA238534","GCA_000717655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/655/GCA_000717655.1_ASM71765v1"
311,"Streptomyces anulatus","NRRL B-3362","SAMN02645293 ","PRJNA238534","GCA_000717105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/105/GCA_000717105.1_ASM71710v1"
312,"Streptomyces aureofaciens","NRRL B-2657","SAMN02645243 ","PRJNA238534","GCA_000719175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/175/GCA_000719175.1_ASM71917v1"
313,"Streptomyces capuensis","NRRL B-3501","SAMN02645264 ","PRJNA238534","GCA_000718295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/295/GCA_000718295.1_ASM71829v1"
314,"Streptomyces olivaceus","NRRL B-1125","SAMN02645191 ","PRJNA238534","GCA_000716815.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/815/GCA_000716815.1_ASM71681v1"
315,"Streptomyces virginiae","NRRL B-8091","SAMN02645303 ","PRJNA238534","GCA_000716685.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/685/GCA_000716685.1_ASM71668v1"
316,"Kitasatospora phosalacinea","NRRL B-16228","SAMN02645305 ","PRJNA238534","GCA_000717185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/185/GCA_000717185.1_ASM71718v1"
317,"Streptomyces bikiniensis","NRRL B-1049","SAMN02645190 ","PRJNA238534","GCA_000716465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/465/GCA_000716465.1_ASM71646v1"
318,"Streptomyces resistomycificus","DSM 40133","SAMN04193356 ","PRJNA299235","GCA_001514265.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/265/GCA_001514265.1_ASM151426v1"
319,"Streptomyces decoyicus","NRRL 2666","SAMN02900588 ","PRJNA238534","GCA_001270575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/575/GCA_001270575.1_ASM127057v1"
320,"Streptomyces pyridomyceticus","NRRL ISP-5024","SAMN02645379 ","PRJNA238534","GCA_000717725.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/725/GCA_000717725.1_ASM71772v1"
323,"Kitasatospora sp. Root187","Root187","SAMN04155755 ","PRJNA297942","GCA_001429805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/429/805/GCA_001429805.1_Root187"
324,"Streptomyces fradiae","olg1-1","SAMN03890301 ","PRJNA290327","GCA_001190165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/165/GCA_001190165.1_ASM119016v1"
325,"Streptomyces exfoliatus DSM 41693","DSM 41693","SAMN02597357 ","PRJNA232297","GCA_000518045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/045/GCA_000518045.1_StrExf1.0"
326,"Streptomyces niveus","NRRL 2466","SAMN05557883 ","PRJNA293375","GCA_001723055.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/055/GCA_001723055.1_ASM172305v1"
327,"Streptomyces lydicus","103","SAMN05725998 ","PRJNA341548","GCA_001729485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/485/GCA_001729485.1_ASM172948v1"
329,"Streptomyces mirabilis","YR139","SAMN02787054 ","PRJNA247517","GCA_000746395.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/395/GCA_000746395.1_ASM74639v1"
330,"Streptomyces canus","DSM 40017","SAMN04193350 ","PRJNA299229","GCA_001514145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/145/GCA_001514145.1_ASM151414v1"
331,"Streptomyces violaceoruber","NRRL S-981","SAMN02645441 ","PRJNA238534","GCA_000720805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/805/GCA_000720805.1_ASM72080v1"
333,"Streptomyces lavendulae subsp. lavendulae","NRRL B-2774","SAMN02645248 ","PRJNA238534","GCA_000718155.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/155/GCA_000718155.1_ASM71815v1"
334,"Streptomyces albulus","B-3066","SAMN04621598 ","PRJNA317587","GCA_001646665.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/646/665/GCA_001646665.1_ASM164666v1"
335,"Streptomyces rimosus subsp. rimosus ATCC 10970","ATCC 10970","SAMN02471950 ","PRJNA182749","GCA_000331185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/185/GCA_000331185.1_ASM33118v1"
336,"Streptomyces bottropensis ATCC 25435","ATCC 25435","SAMN02261243 ","PRJNA104983","GCA_000383595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/595/GCA_000383595.1_ASM38359v1"
337,"Streptomyces vitaminophilus","ATCC 31673","SAMN04201512 ","PRJNA299399","GCA_001445835.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/445/835/GCA_001445835.1_ASM144583v1"
338,"Streptomyces globisporus subsp. globisporus","NRRL B-2709","SAMN02645339 ","PRJNA238534","GCA_000718455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/455/GCA_000718455.1_ASM71845v1"
339,"Streptomyces sp. CNT360","CNT360","SAMN02440677 ","PRJNA187952","GCA_000424785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/785/GCA_000424785.1_ASM42478v1"
340,"Streptomyces acidiscabies","NCPPB 4445","SAMN02927998 ","PRJNA255692","GCA_001189015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/015/GCA_001189015.1_ASM118901v1"
341,"Streptomyces cattleya NRRL 8057 = DSM 46488","NRRL 8057","SAMEA3138404 ","PRJNA65103","GCA_000237305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/305/GCA_000237305.1_ASM23730v1"
342,"Kitasatospora setae","NRRL B-16185","SAMN02645203 ","PRJNA238534","GCA_000716965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/965/GCA_000716965.1_ASM71696v1"
343,"Streptomyces turgidiscabies","T45","SAMD00034891 ","PRJDB4008","GCA_001485145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/145/GCA_001485145.1_ASM148514v1"
344,"Streptomyces ambofaciens ATCC 23877","ATCC 23877","SAMN03921868 ","PRJNA93","GCA_001267885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/267/885/GCA_001267885.1_ASM126788v1"
346,"Streptomyces venezuelae","ATCC 15439","SAMEA3516846 ","PRJEB10583","GCA_001406115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/406/115/GCA_001406115.1_Streptomyces_venezuelae_ATCC_15439"
347,"Streptomyces violaceusniger","NRRL F-8817","SAMN03327491 ","PRJNA238534","GCA_001509775.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/775/GCA_001509775.1_ASM150977v1"
348,"Streptomyces griseus subsp. griseus","NRRL WC-3480","SAMN02645398 ","PRJNA238534","GCA_000717795.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/795/GCA_000717795.1_ASM71779v1"
349,"Streptomyces griseoflavus","NRRL B-1830","SAMN02900591 ","PRJNA238534","GCA_001270585.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/585/GCA_001270585.1_ASM127058v1"
350,"Streptomyces viridochromogenes Tue57","Tue57","SAMN00811239 ","PRJNA89157","GCA_000332625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/625/GCA_000332625.1_STVIR_1.0"
351,"Streptomyces hygroscopicus subsp. jinggangensis TL01","","SAMN02603881 ","PRJNA169410","GCA_000340845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/845/GCA_000340845.1_ASM34084v1"
352,"Streptomyces lividans TK24","TK24","SAMN02947304 ","PRJNA257077","GCA_000739105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/105/GCA_000739105.1_ASM73910v1"
353,"Streptomyces roseosporus NRRL 11379","NRRL 11379","SAMN02595236 ","PRJNA32281","GCA_000156695.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/695/GCA_000156695.2_ASM15669v2"
354,"Streptomyces albus subsp. albus","NRRL B-1811","SAMN02645215 ","PRJNA238534","GCA_000725885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/885/GCA_000725885.1_ASM72588v1"
355,"Streptomyces pristinaespiralis ATCC 25486","ATCC 25486","SAMN02595222 ","PRJNA28553","GCA_000154945.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/945/GCA_000154945.1_ASM15494v1"
356,"Streptomyces scabiei","NCPPB 4086","SAMN02927997 ","PRJNA255691","GCA_000738695.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/695/GCA_000738695.1_ASM73869v1"
357,"Streptomyces avermitilis MA-4680 = NBRC 14893","NBRC 14893","SAMD00041820 ","PRJDB1604","GCA_000764715.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/715/GCA_000764715.1_ASM76471v1"
358,"Streptomyces clavuligerus","F613-1","SAMN05392246 ","PRJNA329150","GCA_001693675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/675/GCA_001693675.1_ASM169367v1"
359,"Streptomyces clavuligerus ATCC 27064","ATCC 27064","SAMN02470183 ","PRJNA19249","GCA_000148465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/465/GCA_000148465.1_Scla_1.0"
360,"Streptomyces avermitilis MA-4680 = NBRC 14893","MA-4680","SAMN03390037 ","PRJNA277389","GCA_000968255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/255/GCA_000968255.1_ASM96825v1"
361,"Streptomyces scabiei","NCPPB 4066","SAMN02927996 ","PRJNA255690","GCA_000738715.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/715/GCA_000738715.1_ASM73871v1"
362,"Streptomyces albus","DSM 41398","SAMN03283748 ","PRJNA271625","GCA_000827005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/005/GCA_000827005.1_ASM82700v1"
363,"Streptomyces lividans 1326","1326","SAMN02469606 ","PRJNA168962","GCA_000403665.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/403/665/GCA_000403665.1_Streptomyces_lividans_1326"
364,"Streptomyces hygroscopicus subsp. limoneus","KCTC 1717","SAMN04277307 ","PRJNA302679","GCA_001447075.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/075/GCA_001447075.1_ASM144707v1"
365,"Streptomyces viridochromogenes","NRRL 3414","SAMN02900581 ","PRJNA238534","GCA_001047325.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/325/GCA_001047325.1_ASM104732v1"
366,"Streptomyces griseus subsp. rhodochrous","NRRL B-2931","SAMN02645256 ","PRJNA238534","GCA_000718205.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/205/GCA_000718205.1_ASM71820v1"
367,"Streptomyces venezuelae","ATCC 15439","SAMN04230917 ","PRJNA298854","GCA_001443625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/625/GCA_001443625.1_ASM144362v1"
369,"Streptomyces acidiscabies","a10","SAMD00034892 ","PRJDB4008","GCA_001485105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/105/GCA_001485105.1_ASM148510v1"
370,"Streptomyces sp. CNH287","CNH287","SAMN02441484 ","PRJNA187954","GCA_000424825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/825/GCA_000424825.1_ASM42482v1"
371,"Streptomyces globisporus subsp. globisporus","NRRL B-2293","SAMN02645220 ","PRJNA238534","GCA_000720875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/875/GCA_000720875.1_ASM72087v1"
372,"Streptomyces rimosus subsp. rimosus","NRRL B-16073","SAMN02645202 ","PRJNA238534","GCA_000716515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/515/GCA_000716515.1_ASM71651v1"
373,"Streptomyces albulus ZPM","ZPM","SAMN03445854 ","PRJNA224122","GCA_000963515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/515/GCA_000963515.1_ASM96351v1"
374,"Streptomyces lavendulae subsp. lavendulae","NRRL WC-3542","SAMN02645401 ","PRJNA238534","GCA_000718705.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/705/GCA_000718705.1_ASM71870v1"
376,"Streptomyces mirabilis","OK461","SAMN02787118 ","PRJEB17260","GCA_900112965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/965/GCA_900112965.1_IMG-taxon_2616644814_annotated_assembly"
377,"Streptomyces lydicus","NRRL ISP-5461","SAMN02645328 ","PRJNA238534","GCA_000717345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/345/GCA_000717345.1_ASM71734v1"
379,"Streptomyces exfoliatus","NRRL B-2924","SAMN02645253 ","PRJNA238534","GCA_000718175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/175/GCA_000718175.1_ASM71817v1"
380,"Streptomyces fradiae","Olg4R","SAMN05366695 ","PRJNA335933","GCA_001756925.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/756/925/GCA_001756925.1_ASM175692v1"
381,"Kitasatospora sp. Root107","Root107","SAMN04155693 ","PRJNA297942","GCA_001424875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/424/875/GCA_001424875.1_Root107"
382,"Streptomyces californicus","NRRL B-2098","SAMN02645354 ","PRJNA238534","GCA_000717645.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/645/GCA_000717645.1_ASM71764v1"
383,"Streptomyces flaveus","NRRL ISP-5371","SAMN02645369 ","PRJNA238534","GCA_000716155.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/155/GCA_000716155.1_ASM71615v1"
384,"Streptomyces resistomycificus","NRRL 2290","SAMN02900586 ","PRJNA238534","GCA_001270505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/505/GCA_001270505.1_ASM127050v1"
385,"Streptomyces bikiniensis","NRRL ISP-5580","SAMN02645284 ","PRJNA238534","GCA_000716625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/625/GCA_000716625.1_ASM71662v1"
386,"Streptomyces virginiae","NRRL B-1447","SAMN02900589 ","PRJNA238534","GCA_001270565.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/565/GCA_001270565.1_ASM127056v1"
387,"Streptomyces aureofaciens","NRRL B-2183","SAMN02645218 ","PRJNA238534","GCA_000720845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/845/GCA_000720845.1_ASM72084v1"
388,"Streptomyces anulatus","NRRL B-2873","SAMN02645251 ","PRJNA238534","GCA_000721175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/175/GCA_000721175.1_ASM72117v1"
390,"Streptomyces leeuwenhoekii","C58","SAMN03769433 ","PRJNA286686","GCA_001047315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/315/GCA_001047315.1_ASM104731v1"
391,"Streptomyces europaeiscabiei","89-04","SAMN04441019 ","PRJNA309848","GCA_001550325.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/325/GCA_001550325.1_ASM155032v1"
394,"Streptomyces agglomeratus","5-1-3","SAMN04216912 ","PRJNA299865","GCA_001746465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/465/GCA_001746465.1_ASM174646v1"
395,"Streptomyces nanshensis","SCSIO 01066","SAMN04026266 ","PRJNA242488","GCA_001751275.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/275/GCA_001751275.1_ASM175127v1"
396,"Streptomyces nanshensis","SCSIO M10372","SAMN04026268 ","PRJNA242488","GCA_001751305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/305/GCA_001751305.1_ASM175130v1"
397,"Streptomyces agglomeratus","5-2-6","SAMN05687608 ","PRJNA340193","GCA_001746475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/475/GCA_001746475.1_ASM174647v1"
398,"Streptomyces europaeiscabiei","96-14","SAMN04441027 ","PRJNA309850","GCA_001550375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/375/GCA_001550375.1_ASM155037v1"
399,"Streptomyces aureofaciens","NRRL 2209","SAMN03491044 ","PRJNA281502","GCA_000978515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/515/GCA_000978515.1_ASM97851v1"
401,"Streptomyces californicus","NRRL B-2988","SAMN02645258 ","PRJNA238534","GCA_000718245.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/245/GCA_000718245.1_ASM71824v1"
402,"Kitasatospora sp. NRRL B-11411","NRRL B-11411","SAMN02645450 ","PRJNA238534","GCA_000721345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/345/GCA_000721345.1_ASM72134v1"
404,"Streptomyces albulus CCRC 11814","CCRC 11814","SAMN02471960 ","PRJNA196135","GCA_000403765.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/403/765/GCA_000403765.2_SAlb2"
406,"Streptomyces sp. TAA040","TAA040","SAMN02440678 ","PRJNA187955","GCA_000424845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/845/GCA_000424845.1_ASM42484v1"
407,"Streptomyces venezuelae","NRRL B-65442","SAMN06014621 ","PRJNA353366","GCA_001886595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/595/GCA_001886595.1_ASM188659v1"
408,"Streptomyces griseus subsp. rhodochrous","NRRL B-2932","SAMN02645257 ","PRJNA238534","GCA_000718235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/235/GCA_000718235.1_ASM71823v1"
409,"Streptomyces viridochromogenes","NRRL 3416","SAMN02900583 ","PRJNA238534","GCA_001270485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/485/GCA_001270485.1_P006IDBA"
410,"Streptomyces hygroscopicus subsp. hygroscopicus","NRRL B-1477","SAMN02645505 ","PRJNA238534","GCA_000721535.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/535/GCA_000721535.1_ASM72153v1"
411,"Streptomyces albus J1074","J1074","SAMN02603310 ","PRJNA180996","GCA_000359525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/525/GCA_000359525.1_ASM35952v1"
412,"Streptomyces scabiei","NRRL B-16523","SAMN03573919 ","PRJNA282688","GCA_001005405.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/405/GCA_001005405.1_ASM100540v1"
413,"Streptomyces avermitilis","DSM 46492","SAMN04193349 ","PRJNA299228","GCA_001514135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/135/GCA_001514135.1_ASM151413v1"
415,"Streptomyces scabiei","85-08","SAMN04437011 ","PRJNA309593","GCA_001550215.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/215/GCA_001550215.1_ASM155021v1"
416,"Streptomyces albus","SM254","SAMN04053756 ","PRJNA295319","GCA_001577385.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/385/GCA_001577385.1_ASM157738v1"
417,"Streptomyces hygroscopicus subsp. hygroscopicus","NBRC 13472","SAMD00022817 ","PRJDB3201","GCA_001553455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/455/GCA_001553455.1_ASM155345v1"
418,"Streptomyces viridochromogenes","NRRL 3413","SAMN02900584 ","PRJNA238534","GCA_001270495.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/495/GCA_001270495.1_P009IDBA"
419,"Streptomyces griseus subsp. griseus","NRRL B-2621","SAMN02645348 ","PRJNA238534","GCA_000718525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/525/GCA_000718525.1_ASM71852v1"
420,"Streptomyces sp. 142MFCol3.1","142MFCol3.1","SAMN02440811 ","PRJNA187960","GCA_000424945.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/945/GCA_000424945.1_ASM42494v1"
421,"Streptomyces rimosus subsp. rimosus","NRRL WC-3924","SAMN02645403 ","PRJNA238534","GCA_000717815.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/815/GCA_000717815.1_ASM71781v1"
422,"Streptomyces albulus PD-1","PD-1","SAMN02470570 ","PRJNA217850","GCA_000504065.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/065/GCA_000504065.2_Velvet_for_version_02_of_Streptomyces_albulus_PD-1"
423,"Streptomyces lavendulae subsp. lavendulae","NRRL B-2775","SAMN02645249 ","PRJNA238534","GCA_000721155.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/155/GCA_000721155.1_ASM72115v1"
424,"Kitasatospora sp. MY 5-36","MY 5-36","SAMN03801506 ","PRJNA288521","GCA_001182915.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/182/915/GCA_001182915.1_ASM118291v1"
426,"Streptomyces aureofaciens","ATCC 10762","SAMN02893937 ","PRJNA253814","GCA_001188955.3 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/955/GCA_001188955.3_ASM118895v3"
427,"Streptomyces agglomeratus","5-1-8","SAMN05631093 ","PRJNA340066","GCA_001746485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/485/GCA_001746485.1_ASM174648v1"
428,"Streptomyces nanshensis","10374","SAMN02697031 ","PRJNA242488","GCA_001753705.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/705/GCA_001753705.1_ASM175370v1"
429,"Streptomyces aureofaciens","NRRL B-2658","SAMN02900594 ","PRJNA238534","GCA_001270665.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/665/GCA_001270665.1_ASM127066v1"
430,"Kitasatospora sp. MBT66","MBT66","SAMN02570147 ","PRJNA233559","GCA_000710405.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/405/GCA_000710405.2_KspMBT66_1.0"
432,"Streptomyces rimosus subsp. rimosus","NRRL WC-3930","SAMN02645396 ","PRJNA238534","GCA_000718675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/675/GCA_000718675.1_ASM71867v1"
433,"Streptomyces sp. TAA204","TAA204","SAMN02441152 ","PRJNA188326","GCA_000424965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/965/GCA_000424965.1_ASM42496v1"
434,"Streptomyces griseus subsp. rhodochrous","NRRL B-1691","SAMN02645212 ","PRJNA238534","GCA_000719035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/035/GCA_000719035.1_ASM71903v1"
435,"Streptomyces viridochromogenes","NRRL 3427","SAMN02900582 ","PRJNA238534","GCA_001270515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/515/GCA_001270515.1_P002IDBA1"
436,"Streptomyces hygroscopicus subsp. hygroscopicus","NBRC 16556","SAMD00021056 ","PRJDB3202","GCA_001553435.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/435/GCA_001553435.1_ASM155343v1"
437,"Streptomyces albus","BK3-25","SAMN04577683 ","PRJNA316158","GCA_001753425.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/425/GCA_001753425.1_ASM175342v1"
438,"Streptomyces scabiei","95-18","SAMN04437012 ","PRJNA309594","GCA_001550225.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/225/GCA_001550225.1_ASM155022v1"
439,"Streptomyces scabiei","96-08","SAMN04439349 ","PRJNA309706","GCA_001550235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/235/GCA_001550235.1_ASM155023v1"
440,"Streptomyces albus J1074","J1074","SAMN02595235 ","PRJNA32149","GCA_000156475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/475/GCA_000156475.1_ASM15647v1"
